alpha,beta,tv_direct,tv_closed_form,tv_residual,hellinger,kl,regime,forward_0,backward_0
0.010000,0.372449,0.005340599455,0.005340599455,1.336e-16,0.003776387554,0.000082297886,Smooth,0.497329700272,0.502670299728
0.010000,0.382245,0.004881328285,0.004881328285,3.990e-17,0.003451630612,0.000068751791,Smooth,0.497559335858,0.502440664142
0.010000,0.392041,0.004434609905,0.004434609905,-4.510e-17,0.003135750444,0.000056743775,Smooth,0.497782695047,0.502217304953
0.010000,0.401837,0.003999057289,0.003999057289,-7.459e-17,0.002827766180,0.000046144729,Smooth,0.498000471356,0.501999528644
0.010000,0.411633,0.003573382854,0.003573382854,2.992e-17,0.002526767281,0.000036843890,Smooth,0.498213308573,0.501786691427
0.010000,0.421429,0.003156384505,0.003156384505,1.561e-17,0.002231903667,0.000028746553,Smooth,0.498421807747,0.501578192253
0.010000,0.431224,0.002746933301,0.002746933301,2.862e-17,0.001942376997,0.000021772177,Smooth,0.498626533350,0.501373466650
0.010000,0.441020,0.002343962463,0.002343962463,-5.681e-17,0.001657432891,0.000015852824,Smooth,0.498828018768,0.501171981232
0.010000,0.450816,0.001946457502,0.001946457502,4.142e-17,0.001376353951,0.000010931882,Smooth,0.499026771249,0.500973228751
0.010000,0.460612,0.001553447242,0.001553447242,-1.455e-16,0.001098453410,0.000006963024,Smooth,0.499223276379,0.500776723621
0.010000,0.470408,0.001163995593,0.001163995593,1.821e-17,0.000823069317,0.000003909376,Smooth,0.499418002203,0.500581997797
0.010000,0.480204,0.000777193897,0.000777193897,1.148e-16,0.000549559116,0.000001742864,Smooth,0.499611403052,0.500388596948
0.010000,0.490000,0.000392153724,0.000392153724,-2.971e-17,0.000277294563,0.000000443728,Smooth,0.499803923138,0.500196076862
0.019796,0.010000,0.480055610825,0.480055610825,5.551e-17,0.350374002940,0.724510561685,Borderline,0.259972194587,0.740027805413
0.019796,0.019796,0.319961980955,0.319961980955,-1.110e-16,0.229280651039,0.306142523903,Borderline,0.340019009523,0.659980990477
0.019796,0.029592,0.238637826322,0.238637826322,5.551e-17,0.169974590628,0.167547524694,Smooth,0.380681086839,0.619318913161
0.019796,0.039388,0.189401680273,0.189401680273,8.327e-17,0.134537388242,0.104772639833,Smooth,0.405299159864,0.594700840136
0.019796,0.049184,0.156373302219,0.156373302219,1.665e-16,0.110914264669,0.071138992220,Smooth,0.421813348890,0.578186651110
0.019796,0.058980,0.132666814601,0.132666814601,1.388e-16,0.094017596948,0.051085390076,Smooth,0.433666592699,0.566333407301
0.019796,0.068776,0.114812648486,0.114812648486,1.110e-16,0.081319351524,0.038203510909,Smooth,0.442593675757,0.557406324243
0.019796,0.078571,0.100872635986,0.100872635986,-9.714e-17,0.071418853773,0.029459870544,Smooth,0.449563682007,0.550436317993
0.019796,0.088367,0.089679047353,0.089679047353,5.551e-17,0.063476636089,0.023267773699,Smooth,0.455160476323,0.544839523677
0.019796,0.098163,0.080486361889,0.080486361889,6.939e-17,0.056958668644,0.018732233650,Smooth,0.459756819055,0.540243180945
